name, method, class, x, y
car,g,0,0.692832764505,0.665560716656
car,g,0,0.686006825939,0.656934306569
car,g,0,0.672354948805,0.64698075647
car,g,0,0.658703071672,0.636363636364
car,g,0,0.648464163823,0.627073656271
car,g,0,0.645051194539,0.617120106171
car,g,0,0.600682593857,0.584605175846
car,g,0,0.587030716724,0.57597876576
car,g,0,0.576791808874,0.569343065693
car,g,0,0.563139931741,0.559389515594
car,g,0,0.552901023891,0.550099535501
car,g,0,0.546075085324,0.534173855342
car,g,0,0.539249146758,0.526211015262
car,g,0,0.522184300341,0.519575315196
car,g,0,0.501706484642,0.487723954877
car,g,0,0.494880546075,0.477770404778
car,g,0,0.484641638225,0.469143994691
car,g,0,0.470989761092,0.458526874585
car,g,0,0.464163822526,0.452554744526
car,g,0,0.460750853242,0.443928334439
car,g,0,0.457337883959,0.436629064366
car,g,0,0.447098976109,0.428666224287
car,g,0,0.40614334471,0.405441274054
car,g,0,0.39590443686,0.394160583942
car,g,0,0.382252559727,0.379562043796
car,g,0,0.37542662116,0.370935633709
car,g,0,0.358361774744,0.35899137359
car,g,0,0.348122866894,0.348374253484
car,g,0,0.341296928328,0.337093563371
car,g,0,0.337883959044,0.324485733245
car,g,0,0.317406143345,0.299933642999
car,g,0,0.307167235495,0.290643662906
car,g,0,0.296928327645,0.28400796284
car,g,0,0.283276450512,0.270072992701
car,g,0,0.273037542662,0.260119442601
car,g,0,0.269624573379,0.252156602522
car,g,0,0.249146757679,0.240212342402
car,g,0,0.242320819113,0.230258792303
car,g,0,0.22866894198,0.198407431984
car,g,0,0.225255972696,0.187790311878
car,g,0,0.19795221843,0.179163901792
car,g,0,0.180887372014,0.170537491705
car,g,0,0.174061433447,0.161247511612
car,g,0,0.156996587031,0.152621101526
car,g,0,0.153583617747,0.14399469144
car,g,0,0.143344709898,0.130723291307
car,g,0,0.119453924915,0.108161911082
car,g,0,0.112627986348,0.104180491042
car,g,0,0.109215017065,0.0942269409423
car,g,0,0.109215017065,0.0829462508295
car,g,0,0.0921501706485,0.0736562707366
car,g,0,0.0853242320819,0.063702720637
car,g,0,0.0784982935154,0.0550763105508
car,g,0,0.0716723549488,0.0464499004645
car,g,0,0.0443686006826,0.0252156602522
car,g,0,0.0273037542662,0.014598540146
car,g,0,0.0273037542662,0.0112806901128
car,g,0,0.0102389078498,0.00597213005972
car,g,1,1.0,1.0
car,g,1,0.990710019907,0.993174061433
car,g,1,0.984074319841,0.9795221843
car,g,1,0.974784339748,0.976109215017
car,g,1,0.952222959522,0.962457337884
car,g,1,0.944923689449,0.959044368601
car,g,1,0.936297279363,0.952218430034
car,g,1,0.930325149303,0.938566552901
car,g,1,0.919708029197,0.924914675768
car,g,1,0.910418049104,0.921501706485
car,g,1,0.902455209025,0.918088737201
car,g,1,0.894492368945,0.911262798635
car,g,1,0.857332448573,0.880546075085
car,g,1,0.849369608494,0.873720136519
car,g,1,0.841406768414,0.866894197952
car,g,1,0.832780358328,0.860068259386
car,g,1,0.824817518248,0.860068259386
car,g,1,0.817518248175,0.853242320819
car,g,1,0.806901128069,0.853242320819
car,g,1,0.799601857996,0.846416382253
car,g,1,0.772395487724,0.832764505119
car,g,1,0.763105507631,0.829351535836
car,g,1,0.753815527538,0.815699658703
car,g,1,0.748506967485,0.808873720137
car,g,1,0.743861977439,0.788395904437
car,g,1,0.738553417386,0.784982935154
car,g,1,0.725945587259,0.774744027304
car,g,1,0.71798274718,0.757679180887
car,g,1,0.690112806901,0.720136518771
car,g,1,0.678832116788,0.703071672355
car,g,1,0.665560716656,0.692832764505
car,g,1,0.656934306569,0.686006825939
car,g,1,0.64698075647,0.672354948805
car,g,1,0.636363636364,0.658703071672
car,g,1,0.627073656271,0.648464163823
car,g,1,0.617120106171,0.645051194539
car,g,1,0.584605175846,0.600682593857
car,g,1,0.57597876576,0.587030716724
car,g,1,0.569343065693,0.576791808874
car,g,1,0.559389515594,0.563139931741
car,g,1,0.550099535501,0.552901023891
car,g,1,0.534173855342,0.546075085324
car,g,1,0.526211015262,0.539249146758
car,g,1,0.519575315196,0.522184300341
car,g,1,0.487723954877,0.501706484642
car,g,1,0.477770404778,0.494880546075
car,g,1,0.469143994691,0.484641638225
car,g,1,0.458526874585,0.470989761092
car,g,1,0.452554744526,0.464163822526
car,g,1,0.443928334439,0.460750853242
car,g,1,0.436629064366,0.457337883959
car,g,1,0.428666224287,0.447098976109
car,g,1,0.405441274054,0.40614334471
car,g,1,0.394160583942,0.39590443686
car,g,1,0.379562043796,0.382252559727
car,g,1,0.370935633709,0.37542662116
car,g,1,0.35899137359,0.358361774744
car,g,1,0.348374253484,0.348122866894
car,g,1,0.337093563371,0.341296928328
car,g,1,0.324485733245,0.337883959044
car,g,1,0.299933642999,0.317406143345
car,g,1,0.290643662906,0.307167235495
car,g,1,0.28400796284,0.296928327645
car,g,1,0.270072992701,0.283276450512
car,g,1,0.260119442601,0.273037542662
car,g,1,0.252156602522,0.269624573379
car,g,1,0.240212342402,0.249146757679
car,g,1,0.230258792303,0.242320819113
car,g,1,0.198407431984,0.22866894198
car,g,1,0.187790311878,0.225255972696
car,g,1,0.179163901792,0.19795221843
car,g,1,0.170537491705,0.180887372014
car,g,1,0.161247511612,0.174061433447
car,g,1,0.152621101526,0.156996587031
car,g,1,0.14399469144,0.153583617747
car,g,1,0.130723291307,0.143344709898
car,g,1,0.108161911082,0.119453924915
car,g,1,0.104180491042,0.112627986348
car,g,1,0.0942269409423,0.109215017065
car,g,1,0.0829462508295,0.109215017065
car,g,1,0.0736562707366,0.0921501706485
car,g,1,0.063702720637,0.0853242320819
car,g,1,0.0550763105508,0.0784982935154
car,g,1,0.0464499004645,0.0716723549488
car,g,1,0.0252156602522,0.0443686006826
car,g,1,0.014598540146,0.0273037542662
car,g,1,0.0112806901128,0.0273037542662
car,g,1,0.00597213005972,0.0102389078498
